unique_id,ds,y
1,2026-01-08 22:00:00,13883
1,2026-01-08 22:00:00,79
1,2026-01-08 22:00:00,678
1,2026-01-08 22:00:00,15571
1,2026-01-08 22:00:00,-452
1,2026-01-08 22:00:00,1719
1,2026-01-08 22:00:00,2052
1,2026-01-08 22:00:00,2175
1,2026-01-08 22:00:00,529
1,2026-01-08 22:00:00,814
1,2026-01-08 22:00:00,314
1,2026-01-08 22:00:00,289
1,2026-01-08 22:00:00,1033
1,2026-01-08 22:00:00,-76
1,2026-01-08 22:00:00,738
1,2026-01-08 22:00:00,343
1,2026-01-08 22:00:00,343
1,2026-01-08 22:00:00,-95
1,2026-01-08 22:00:00,125
1,2026-01-08 22:00:00,210
1,2026-01-08 22:00:00,229
1,2026-01-08 22:00:00,2186
1,2026-01-08 22:00:00,2186
1,2026-01-08 22:00:00,788
1,2026-01-08 22:00:00,1519
1,2026-01-08 22:00:00,76
1,2026-01-08 22:00:00,759
1,2026-01-08 22:00:00,0
1,2026-01-08 22:00:00,17770
1,2026-01-08 22:00:00,2129
1,2026-01-08 22:00:00,30226
1,2026-01-08 22:00:00,-114
1,2026-01-08 22:00:00,2216
1,2026-01-08 22:00:00,2232
1,2026-01-08 22:00:00,6433
1,2026-01-08 22:00:00,-87
1,2026-01-08 22:00:00,5081
1,2026-01-08 22:00:00,4962
1,2026-01-08 22:00:00,-1471
1,2026-01-08 22:00:00,30352
1,2026-01-08 22:00:00,16965
1,2026-01-08 22:00:00,16737
1,2026-01-08 22:00:00,666
1,2026-01-08 22:00:00,-310
1,2026-01-08 22:00:00,53364
1,2026-01-08 22:00:00,54413
1,2026-01-08 22:00:00,53674
1,2026-01-08 22:00:00,-178
1,2026-01-08 22:00:00,815
1,2026-01-08 22:00:00,843
1,2026-01-08 22:00:00,614
1,2026-01-08 22:00:00,11551
1,2026-01-08 22:00:00,11447
1,2026-01-08 22:00:00,29243
1,2026-01-08 22:00:00,361
1,2026-01-08 22:00:00,12061
1,2026-01-08 22:00:00,365
1,2026-01-08 22:00:00,325
1,2026-01-08 22:00:00,325
1,2026-01-08 22:00:00,-17
1,2026-01-08 22:00:00,520
1,2026-01-08 22:00:00,583
1,2026-01-08 22:00:00,537
1,2026-01-08 22:00:00,220
1,2026-01-08 22:00:00,6456
1,2026-01-08 22:00:00,6127
1,2026-01-08 22:00:00,6236
1,2026-01-08 22:00:00,-3056
1,2026-01-08 22:00:00,14395
1,2026-01-08 22:00:00,19817
1,2026-01-08 22:00:00,1135
1,2026-01-08 22:00:00,1413
1,2026-01-08 22:00:00,313
1,2026-01-08 22:00:00,278
1,2026-01-08 22:00:00,-161
1,2026-01-08 22:00:00,31204
1,2026-01-08 22:00:00,35144
1,2026-01-08 22:00:00,31257
1,2026-01-08 22:00:00,-402
1,2026-01-08 22:00:00,20541
1,2026-01-08 22:00:00,15800
1,2026-01-08 22:00:00,28049
1,2026-01-08 22:00:00,317
1,2026-01-08 22:00:00,20980
1,2026-01-08 22:00:00,19132
1,2026-01-08 22:00:00,2043
1,2026-01-08 22:00:00,20919
1,2026-01-08 22:00:00,24860
1,2026-01-08 22:00:00,33315
1,2026-01-08 22:00:00,6213
1,2026-01-08 22:00:00,14806
1,2026-01-08 22:00:00,8449
1,2026-01-08 22:00:00,8593
1,2026-01-08 22:00:00,1595
1,2026-01-08 22:00:00,2004
1,2026-01-08 22:00:00,1891
1,2026-01-08 22:00:00,-1477
1,2026-01-08 22:00:00,3584
1,2026-01-08 22:00:00,-296
1,2026-01-08 22:00:00,528
1,2026-01-08 22:00:00,3520
1,2026-01-08 22:00:00,1585
1,2026-01-08 22:00:00,1585
1,2026-01-08 22:00:00,-618
1,2026-01-08 22:00:00,1133
1,2026-01-08 22:00:00,1767
1,2026-01-08 22:00:00,1751
1,2026-01-08 22:00:00,2048
1,2026-01-08 22:00:00,2576
1,2026-01-08 22:00:00,2025
1,2026-01-08 22:00:00,-3579
1,2026-01-08 23:00:00,3408
1,2026-01-08 23:00:00,3460
1,2026-01-08 23:00:00,38
1,2026-01-08 23:00:00,-3910
1,2026-01-08 23:00:00,483348
1,2026-01-08 23:00:00,3879
1,2026-01-08 23:00:00,-471
1,2026-01-08 23:00:00,102
1,2026-01-08 23:00:00,805
1,2026-01-08 23:00:00,922
1,2026-01-08 23:00:00,98
1,2026-01-08 23:00:00,-64
1,2026-01-08 23:00:00,479054
1,2026-01-08 23:00:00,863
1,2026-01-08 23:00:00,488381
1,2026-01-08 23:00:00,17545
1,2026-01-08 23:00:00,-346
1,2026-01-08 23:00:00,281
1,2026-01-08 23:00:00,294
1,2026-01-08 23:00:00,164
1,2026-01-08 23:00:00,-114
1,2026-01-08 23:00:00,24937
1,2026-01-08 23:00:00,699
1,2026-01-08 23:00:00,526
1,2026-01-08 23:00:00,-173
1,2026-01-08 23:00:00,17804
1,2026-01-08 23:00:00,17567
1,2026-01-08 23:00:00,-239
1,2026-01-08 23:00:00,0
1,2026-01-08 23:00:00,700
1,2026-01-08 23:00:00,53298
1,2026-01-08 23:00:00,16786
1,2026-01-08 23:00:00,-495
1,2026-01-08 23:00:00,53644
1,2026-01-08 23:00:00,9
1,2026-01-08 23:00:00,1463
1,2026-01-08 23:00:00,-239
1,2026-01-08 23:00:00,17567
1,2026-01-08 23:00:00,17545
1,2026-01-08 23:00:00,17804
1,2026-01-08 23:00:00,2142
1,2026-01-08 23:00:00,2728
1,2026-01-08 23:00:00,2637
1,2026-01-08 23:00:00,99
1,2026-01-08 23:00:00,298
1,2026-01-08 23:00:00,298
1,2026-01-08 23:00:00,1211
1,2026-01-08 23:00:00,-161
1,2026-01-08 23:00:00,54427
1,2026-01-08 23:00:00,35441
1,2026-01-08 23:00:00,405
1,2026-01-08 23:00:00,12493
1,2026-01-08 23:00:00,11916
1,2026-01-08 23:00:00,12069
1,2026-01-08 23:00:00,1744
1,2026-01-08 23:00:00,5463
1,2026-01-08 23:00:00,3489
1,2026-01-08 23:00:00,3752
1,2026-01-08 23:00:00,27
1,2026-01-08 23:00:00,1125
1,2026-01-08 23:00:00,26062
1,2026-01-08 23:00:00,25621
1,2026-01-08 23:00:00,31204
1,2026-01-08 23:00:00,-252
1,2026-01-08 23:00:00,31226
1,2026-01-08 23:00:00,-1
1,2026-01-08 23:00:00,1495
1,2026-01-08 23:00:00,537
1,2026-01-08 23:00:00,105
1,2026-01-08 23:00:00,1513
1,2026-01-08 23:00:00,1820
1,2026-01-08 23:00:00,210
1,2026-01-08 23:00:00,307
1,2026-01-08 23:00:00,1227
1,2026-01-08 23:00:00,26167
1,2026-01-08 23:00:00,25621
1,2026-01-08 23:00:00,24937
1,2026-01-08 23:00:00,552
1,2026-01-08 23:00:00,1355
1,2026-01-08 23:00:00,1415
1,2026-01-08 23:00:00,-1297
1,2026-01-08 23:00:00,1598
1,2026-01-08 23:00:00,100597
1,2026-01-08 23:00:00,-863
1,2026-01-08 23:00:00,1732
1,2026-01-08 23:00:00,2816
1,2026-01-08 23:00:00,1449
1,2026-01-08 23:00:00,1750
1,2026-01-08 23:00:00,54
1,2026-01-08 23:00:00,6171
1,2026-01-08 23:00:00,5066
1,2026-01-08 23:00:00,1704
1,2026-01-08 23:00:00,-383
1,2026-01-08 23:00:00,-3184
1,2026-01-08 23:00:00,3779
1,2026-01-08 23:00:00,1428
1,2026-01-08 23:00:00,595
1,2026-01-08 23:00:00,5788
